;Tweet;Sentimen;ProcessedText;step01;tokens;tokens_perbaikan;Stop_removal;step02;step03_stemmed
564;Update sebaran Covid-19 di Kabupaten Bojonegoro per tanggal 11 April 2020 pukul 15.00 WIB.;0.0;update sebar covid kabupaten bojonegoro tanggal april wib;update sebaran covid di kabupaten bojonegoro per tanggal april pukul wib;['update', 'sebaran', 'covid', 'di', 'kabupaten', 'bojonegoro', 'per', 'tanggal', 'april', 'pukul', 'wib'];['update', 'sebaran', 'covid', 'di', 'kabupaten', 'bojonegoro', 'per', 'tanggal', 'april', 'pukul', 'wib'];['update', 'sebaran', 'covid', 'kabupaten', 'bojonegoro', 'tanggal', 'april', 'wib'];update sebaran covid kabupaten bojonegoro tanggal april wib;update sebar covid kabupaten bojonegoro tanggal april wib
565;Penanganan Covid-19, Warga Berkukuh Tolak Islamic Center Kotabumi Jadi Tempat Isolasi;-1.0;tangan covid warga kukuh tolak islamic center kotabumi isolasi;penanganan covid warga berkukuh tolak islamic center kotabumi jadi tempat isolasi;['penanganan', 'covid', 'warga', 'berkukuh', 'tolak', 'islamic', 'center', 'kotabumi', 'jadi', 'tempat', 'isolasi'];['penanganan', 'covid', 'warga', 'berkukuh', 'tolak', 'islamic', 'center', 'kotabumi', 'jadi', 'tempat', 'isolasi'];['penanganan', 'covid', 'warga', 'berkukuh', 'tolak', 'islamic', 'center', 'kotabumi', 'isolasi'];penanganan covid warga berkukuh tolak islamic center kotabumi isolasi;tangan covid warga kukuh tolak islamic center kotabumi isolasi
566;Covid-19 dtg rumah.;-1.0;covid dtg rumah;covid dtg rumah;['covid', 'dtg', 'rumah'];['covid', 'dtg', 'rumah'];['covid', 'dtg', 'rumah'];covid dtg rumah;covid dtg rumah
567;Knp sebagian marah kepada LBP krn di tengah wabah Covid 19, LBP justru terkesan tdk serius melawan wabah Covid 19 dengan membela kedatangan TKA China di saat aturan sdh melarang, selain itu jg terkesan memaksakan pindah IKN di saat negara justru kumpulkan sumbangan tuk covid 19;0.0;marah lbp wabah covid lbp kes serius lawan wabah covid bela datang tka china atur larang jg kes paksa pindah ikn negara kumpul sumbang tuk covid;knp sebagian marah kepada lbp krn di tengah wabah covid lbp justru terkesan tdk serius melawan wabah covid dengan membela kedatangan tka china di saat aturan sdh melarang selain itu jg terkesan memaksakan pindah ikn di saat negara justru kumpulkan sumbangan tuk covid;['knp', 'sebagian', 'marah', 'kepada', 'lbp', 'krn', 'di', 'tengah', 'wabah', 'covid', 'lbp', 'justru', 'terkesan', 'tdk', 'serius', 'melawan', 'wabah', 'covid', 'dengan', 'membela', 'kedatangan', 'tka', 'china', 'di', 'saat', 'aturan', 'sdh', 'melarang', 'selain', 'itu', 'jg', 'terkesan', 'memaksakan', 'pindah', 'ikn', 'di', 'saat', 'negara', 'justru', 'kumpulkan', 'sumbangan', 'tuk', 'covid'];['mengapa', 'sebagian', 'marah', 'kepada', 'lbp', 'karena', 'di', 'tengah', 'wabah', 'covid', 'lbp', 'justru', 'terkesan', 'tidak', 'serius', 'melawan', 'wabah', 'covid', 'dengan', 'membela', 'kedatangan', 'tka', 'china', 'di', 'saat', 'aturan', 'sudah', 'melarang', 'selain', 'itu', 'jg', 'terkesan', 'memaksakan', 'pindah', 'ikn', 'di', 'saat', 'negara', 'justru', 'kumpulkan', 'sumbangan', 'tuk', 'covid'];['marah', 'lbp', 'wabah', 'covid', 'lbp', 'terkesan', 'serius', 'melawan', 'wabah', 'covid', 'membela', 'kedatangan', 'tka', 'china', 'aturan', 'melarang', 'jg', 'terkesan', 'memaksakan', 'pindah', 'ikn', 'negara', 'kumpulkan', 'sumbangan', 'tuk', 'covid'];marah lbp wabah covid lbp terkesan serius melawan wabah covid membela kedatangan tka china aturan melarang jg terkesan memaksakan pindah ikn negara kumpulkan sumbangan tuk covid;marah lbp wabah covid lbp kes serius lawan wabah covid bela datang tka china atur larang jg kes paksa pindah ikn negara kumpul sumbang tuk covid
568;min ini kenapa pamnya mati ya?Kp. Setu bintara jaya rt/rw 08/02010507008034Ada aja lagi covid 19 gini pake mati segala. Ini gimana coba mau cuci tangan segala macem kalo air mati?;-1.0;min pamnya mati yakp setu bintara jaya rtrw covid gin pakai mati coba cuci tangan air mati;min ini kenapa pamnya mati yakp setu bintara jaya rtrw ada aja lagi covid gini pake mati segala ini gimana coba mau cuci tangan segala macem kalo air mati;['min', 'ini', 'kenapa', 'pamnya', 'mati', 'yakp', 'setu', 'bintara', 'jaya', 'rtrw', 'ada', 'aja', 'lagi', 'covid', 'gini', 'pake', 'mati', 'segala', 'ini', 'gimana', 'coba', 'mau', 'cuci', 'tangan', 'segala', 'macem', 'kalo', 'air', 'mati'];['min', 'ini', 'kenapa', 'pamnya', 'mati', 'yakp', 'setu', 'bintara', 'jaya', 'rtrw', 'ada', 'saja', 'lagi', 'covid', 'gini', 'pakai', 'mati', 'segala', 'ini', 'bagaimana', 'coba', 'mau', 'cuci', 'tangan', 'segala', 'seperti', 'kalau', 'air', 'mati'];['min', 'pamnya', 'mati', 'yakp', 'setu', 'bintara', 'jaya', 'rtrw', 'covid', 'gini', 'pakai', 'mati', 'coba', 'cuci', 'tangan', 'air', 'mati'];min pamnya mati yakp setu bintara jaya rtrw covid gini pakai mati coba cuci tangan air mati;min pamnya mati yakp setu bintara jaya rtrw covid gin pakai mati coba cuci tangan air mati
569;Dari dulu juga pak Jokowi suka suka membagikan rejeki ke masyarakat yang membutuhkan, gausah menprovokasi seakan akan itu tidak baik, kalau lu gasuka yagausah komentar, cukup diam saja, daripada mmperkeruh suasana, afau lu jadi relawan covid sana..;1.0;jokowi suka suka bagi rejeki masyarakat butuh gausah menprovokasi akan gasuka yagausah komentar diam mmperkeruh suasana afau rawan covid;dari dulu juga pak jokowi suka suka membagikan rejeki ke masyarakat yang membutuhkan gausah menprovokasi seakan akan itu tidak baik kalau lu gasuka yagausah komentar cukup diam saja daripada mmperkeruh suasana afau lu jadi relawan covid sana;['dari', 'dulu', 'juga', 'pak', 'jokowi', 'suka', 'suka', 'membagikan', 'rejeki', 'ke', 'masyarakat', 'yang', 'membutuhkan', 'gausah', 'menprovokasi', 'seakan', 'akan', 'itu', 'tidak', 'baik', 'kalau', 'lu', 'gasuka', 'yagausah', 'komentar', 'cukup', 'diam', 'saja', 'daripada', 'mmperkeruh', 'suasana', 'afau', 'lu', 'jadi', 'relawan', 'covid', 'sana'];['dari', 'dulu', 'juga', 'pak', 'jokowi', 'suka', 'suka', 'membagikan', 'rejeki', 'ke', 'masyarakat', 'yang', 'membutuhkan', 'gausah', 'menprovokasi', 'seakan', 'akan', 'itu', 'tidak', 'baik', 'kalau', 'kamu', 'gasuka', 'yagausah', 'komentar', 'cukup', 'diam', 'saja', 'daripada', 'mmperkeruh', 'suasana', 'afau', 'kamu', 'jadi', 'relawan', 'covid', 'sana'];['jokowi', 'suka', 'suka', 'membagikan', 'rejeki', 'masyarakat', 'membutuhkan', 'gausah', 'menprovokasi', 'seakan', 'gasuka', 'yagausah', 'komentar', 'diam', 'mmperkeruh', 'suasana', 'afau', 'relawan', 'covid'];jokowi suka suka membagikan rejeki masyarakat membutuhkan gausah menprovokasi seakan gasuka yagausah komentar diam mmperkeruh suasana afau relawan covid;jokowi suka suka bagi rejeki masyarakat butuh gausah menprovokasi akan gasuka yagausah komentar diam mmperkeruh suasana afau rawan covid
570;PMI Muba Buka Pendaftaran Relawan Kemanusiaan Hadapi Covid-19;1.0;pmi muba buka daftar rawan manusia hadap covid;pmi muba buka pendaftaran relawan kemanusiaan hadapi covid;['pmi', 'muba', 'buka', 'pendaftaran', 'relawan', 'kemanusiaan', 'hadapi', 'covid'];['pmi', 'muba', 'buka', 'pendaftaran', 'relawan', 'kemanusiaan', 'hadapi', 'covid'];['pmi', 'muba', 'buka', 'pendaftaran', 'relawan', 'kemanusiaan', 'hadapi', 'covid'];pmi muba buka pendaftaran relawan kemanusiaan hadapi covid;pmi muba buka daftar rawan manusia hadap covid
571;Selamatkan Indonesia, dengan selalu kenakan masker saat keluar rumah. Mari jadikan masker sbg kebutuhan pokok saat ini. Semoga Pandemi Virus Corona Covid-19 segera berlalu.;1.0;selamat indonesia kena masker rumah mari jadi masker butuh pokok moga pandemi virus corona covid;selamatkan indonesia dengan selalu kenakan masker saat keluar rumah mari jadikan masker sbg kebutuhan pokok saat ini semoga pandemi virus corona covid segera berlalu;['selamatkan', 'indonesia', 'dengan', 'selalu', 'kenakan', 'masker', 'saat', 'keluar', 'rumah', 'mari', 'jadikan', 'masker', 'sbg', 'kebutuhan', 'pokok', 'saat', 'ini', 'semoga', 'pandemi', 'virus', 'corona', 'covid', 'segera', 'berlalu'];['selamatkan', 'indonesia', 'dengan', 'selalu', 'kenakan', 'masker', 'saat', 'keluar', 'rumah', 'mari', 'jadikan', 'masker', 'sebagai', 'kebutuhan', 'pokok', 'saat', 'ini', 'semoga', 'pandemi', 'virus', 'corona', 'covid', 'segera', 'berlalu'];['selamatkan', 'indonesia', 'kenakan', 'masker', 'rumah', 'mari', 'jadikan', 'masker', 'kebutuhan', 'pokok', 'semoga', 'pandemi', 'virus', 'corona', 'covid'];selamatkan indonesia kenakan masker rumah mari jadikan masker kebutuhan pokok semoga pandemi virus corona covid;selamat indonesia kena masker rumah mari jadi masker butuh pokok moga pandemi virus corona covid
572;semoga secepetnya ini virus covid-19 ngilang, dan kita semua bisa beraktifitas dengan normal kembali.;1.0;moga secepetnya virus covid ngilang beraktifitas normal;semoga secepetnya ini virus covid ngilang dan kita semua bisa beraktifitas dengan normal kembali;['semoga', 'secepetnya', 'ini', 'virus', 'covid', 'ngilang', 'dan', 'kita', 'semua', 'bisa', 'beraktifitas', 'dengan', 'normal', 'kembali'];['semoga', 'secepetnya', 'ini', 'virus', 'covid', 'ngilang', 'dan', 'kita', 'semua', 'bisa', 'beraktifitas', 'dengan', 'normal', 'kembali'];['semoga', 'secepetnya', 'virus', 'covid', 'ngilang', 'beraktifitas', 'normal'];semoga secepetnya virus covid ngilang beraktifitas normal;moga secepetnya virus covid ngilang beraktifitas normal
573;Waktu ngelebelin status peserta test covid . Merah aku isi pdi. Biru aku isi demokrat atau pan ya?;0.0;ngelebelin status serta test covid merah isi pdi biru isi demokrat pan iya;waktu ngelebelin status peserta test covid merah aku isi pdi biru aku isi demokrat atau pan ya;['waktu', 'ngelebelin', 'status', 'peserta', 'test', 'covid', 'merah', 'aku', 'isi', 'pdi', 'biru', 'aku', 'isi', 'demokrat', 'atau', 'pan', 'ya'];['waktu', 'ngelebelin', 'status', 'peserta', 'test', 'covid', 'merah', 'aku', 'isi', 'pdi', 'biru', 'aku', 'isi', 'demokrat', 'atau', 'pan', 'iya'];['ngelebelin', 'status', 'peserta', 'test', 'covid', 'merah', 'isi', 'pdi', 'biru', 'isi', 'demokrat', 'pan', 'iya'];ngelebelin status peserta test covid merah isi pdi biru isi demokrat pan iya;ngelebelin status serta test covid merah isi pdi biru isi demokrat pan iya
574;Lama2 eneg juga liat driver ojol ini. Makin ngelunjak. Emangnya cuma kalian apa yg terdampak covid 19 ini. Semua tau!!! Gimana ne mentri yg punya? Urus dong diver2nya. Koq negara yg jd repot dibuat;-1.0;eneg lihat driver ojol ngelunjak emang dampak covid tau ne menteri urus divernya koq negara jadi repot;lama eneg juga liat driver ojol ini makin ngelunjak emangnya cuma kalian apa yg terdampak covid ini semua tau gimana ne mentri yg punya urus dong divernya koq negara yg jd repot dibuat;['lama', 'eneg', 'juga', 'liat', 'driver', 'ojol', 'ini', 'makin', 'ngelunjak', 'emangnya', 'cuma', 'kalian', 'apa', 'yg', 'terdampak', 'covid', 'ini', 'semua', 'tau', 'gimana', 'ne', 'mentri', 'yg', 'punya', 'urus', 'dong', 'divernya', 'koq', 'negara', 'yg', 'jd', 'repot', 'dibuat'];['lama', 'eneg', 'juga', 'lihat', 'driver', 'ojol', 'ini', 'makin', 'ngelunjak', 'emangnya', 'cuma', 'kalian', 'apa', 'yang', 'terdampak', 'covid', 'ini', 'semua', 'tau', 'bagaimana', 'ne', 'menteri', 'yang', 'punya', 'urus', 'dong', 'divernya', 'koq', 'negara', 'yang', 'jadi ', 'repot', 'dibuat'];['eneg', 'lihat', 'driver', 'ojol', 'ngelunjak', 'emangnya', 'terdampak', 'covid', 'tau', 'ne', 'menteri', 'urus', 'divernya', 'koq', 'negara', 'jadi ', 'repot'];eneg lihat driver ojol ngelunjak emangnya terdampak covid tau ne menteri urus divernya koq negara jadi  repot;eneg lihat driver ojol ngelunjak emang dampak covid tau ne menteri urus divernya koq negara jadi repot
575;Susah gila nak control org tua nie...hari2 riso jea...apa lg dia nak buat setiap hari...x control nanti effect semua org..stresss nya...dahla kena wfh...Ya Allah cepat la reda covid nie aminnn..;1.0;susah gila nak control orang tua niehari riso jeaapa lg nak harix control effect orgstresss nyadahla kena wfhya allah cepat la reda covid nie aminnn;susah gila nak control org tua niehari riso jeaapa lg dia nak buat setiap harix control nanti effect semua orgstresss nyadahla kena wfhya allah cepat la reda covid nie aminnn;['susah', 'gila', 'nak', 'control', 'org', 'tua', 'niehari', 'riso', 'jeaapa', 'lg', 'dia', 'nak', 'buat', 'setiap', 'harix', 'control', 'nanti', 'effect', 'semua', 'orgstresss', 'nyadahla', 'kena', 'wfhya', 'allah', 'cepat', 'la', 'reda', 'covid', 'nie', 'aminnn'];['susah', 'gila', 'nak', 'control', 'orang', 'tua', 'niehari', 'riso', 'jeaapa', 'lg', 'dia', 'nak', 'buat', 'setiap', 'harix', 'control', 'nanti', 'effect', 'semua', 'orgstresss', 'nyadahla', 'kena', 'wfhya', 'allah', 'cepat', 'la', 'reda', 'covid', 'nie', 'aminnn'];['susah', 'gila', 'nak', 'control', 'orang', 'tua', 'niehari', 'riso', 'jeaapa', 'lg', 'nak', 'harix', 'control', 'effect', 'orgstresss', 'nyadahla', 'kena', 'wfhya', 'allah', 'cepat', 'la', 'reda', 'covid', 'nie', 'aminnn'];susah gila nak control orang tua niehari riso jeaapa lg nak harix control effect orgstresss nyadahla kena wfhya allah cepat la reda covid nie aminnn;susah gila nak control orang tua niehari riso jeaapa lg nak harix control effect orgstresss nyadahla kena wfhya allah cepat la reda covid nie aminnn
576;"Dulu pas mau sakit selalu bilang ke temen gini : ""Teman... tolong dong infusin""""Teman aku sakit, bawain obat yaa""__Nah sekarang ??Mau ngomong pusing, flu, batuk, panas, sesak nafas. Takut dikira kenak covid-19 ";0.0;cocok sakit bilang teman gin teman tolong infusinteman sakit bawain obat yaanah ngomong pusing flu batuk panas sesak nafas takut nak covid;dulu pas mau sakit selalu bilang ke temen gini teman tolong dong infusinteman aku sakit bawain obat yaanah sekarang mau ngomong pusing flu batuk panas sesak nafas takut dikira kenak covid;['dulu', 'pas', 'mau', 'sakit', 'selalu', 'bilang', 'ke', 'temen', 'gini', 'teman', 'tolong', 'dong', 'infusinteman', 'aku', 'sakit', 'bawain', 'obat', 'yaanah', 'sekarang', 'mau', 'ngomong', 'pusing', 'flu', 'batuk', 'panas', 'sesak', 'nafas', 'takut', 'dikira', 'kenak', 'covid'];['dulu', 'cocok', 'mau', 'sakit', 'selalu', 'bilang', 'ke', 'teman', 'gini', 'teman', 'tolong', 'dong', 'infusinteman', 'aku', 'sakit', 'bawain', 'obat', 'yaanah', 'sekarang', 'mau', 'ngomong', 'pusing', 'flu', 'batuk', 'panas', 'sesak', 'nafas', 'takut', 'dikira', 'kenak', 'covid'];['cocok', 'sakit', 'bilang', 'teman', 'gini', 'teman', 'tolong', 'infusinteman', 'sakit', 'bawain', 'obat', 'yaanah', 'ngomong', 'pusing', 'flu', 'batuk', 'panas', 'sesak', 'nafas', 'takut', 'kenak', 'covid'];cocok sakit bilang teman gini teman tolong infusinteman sakit bawain obat yaanah ngomong pusing flu batuk panas sesak nafas takut kenak covid;cocok sakit bilang teman gin teman tolong infusinteman sakit bawain obat yaanah ngomong pusing flu batuk panas sesak nafas takut nak covid
577;GARIS PANDUANAmalan Langkah Pencegahan COVID-19 Industri Pembinaan;1.0;garis panduanamalan langkah cegah covid industri bina;garis panduanamalan langkah pencegahan covid industri pembinaan;['garis', 'panduanamalan', 'langkah', 'pencegahan', 'covid', 'industri', 'pembinaan'];['garis', 'panduanamalan', 'langkah', 'pencegahan', 'covid', 'industri', 'pembinaan'];['garis', 'panduanamalan', 'langkah', 'pencegahan', 'covid', 'industri', 'pembinaan'];garis panduanamalan langkah pencegahan covid industri pembinaan;garis panduanamalan langkah cegah covid industri bina
578;Dampak Covid-19, Ketua AMPI Palas Bagikan Sembako kepada Abang Becak;1.0;dampak covid ketua ampi palas bagi sembako abang becak;dampak covid ketua ampi palas bagikan sembako kepada abang becak;['dampak', 'covid', 'ketua', 'ampi', 'palas', 'bagikan', 'sembako', 'kepada', 'abang', 'becak'];['dampak', 'covid', 'ketua', 'ampi', 'palas', 'bagikan', 'sembako', 'kepada', 'abang', 'becak'];['dampak', 'covid', 'ketua', 'ampi', 'palas', 'bagikan', 'sembako', 'abang', 'becak'];dampak covid ketua ampi palas bagikan sembako abang becak;dampak covid ketua ampi palas bagi sembako abang becak
579;anda melakukan hoax terberat dalam kasus covid-19 dimana kalimat anda berupa statement bukan seperti pakar yg hanya bisa memperkirakan. anda telah menciderai profesi sbg pengacara, pantesan anda kalah dlm gugatan pilpres, gak heran sih twit anda menggambarkan kualitas anda.bye;-1.0;bohong berat covid mana kalimat statement pakar menciderai profesi acara pantesan kalah gugat pilpres heran sih twit gambar kualitas andabye;anda melakukan hoax terberat dalam kasus covid dimana kalimat anda berupa statement bukan seperti pakar yg hanya bisa memperkirakan anda telah menciderai profesi sbg pengacara pantesan anda kalah dlm gugatan pilpres gak heran sih twit anda menggambarkan kualitas andabye;['anda', 'melakukan', 'hoax', 'terberat', 'dalam', 'kasus', 'covid', 'dimana', 'kalimat', 'anda', 'berupa', 'statement', 'bukan', 'seperti', 'pakar', 'yg', 'hanya', 'bisa', 'memperkirakan', 'anda', 'telah', 'menciderai', 'profesi', 'sbg', 'pengacara', 'pantesan', 'anda', 'kalah', 'dlm', 'gugatan', 'pilpres', 'gak', 'heran', 'sih', 'twit', 'anda', 'menggambarkan', 'kualitas', 'andabye'];['anda', 'melakukan', 'bohong', 'terberat', 'dalam', 'kasus', 'covid', 'dimana', 'kalimat', 'anda', 'berupa', 'statement', 'bukan', 'seperti', 'pakar', 'yang', 'hanya', 'bisa', 'memperkirakan', 'anda', 'telah', 'menciderai', 'profesi', 'sebagai', 'pengacara', 'pantesan', 'anda', 'kalah', 'dalam', 'gugatan', 'pilpres', 'tidak', 'heran', 'sih', 'twit', 'anda', 'menggambarkan', 'kualitas', 'andabye'];['bohong', 'terberat', 'covid', 'dimana', 'kalimat', 'statement', 'pakar', 'menciderai', 'profesi', 'pengacara', 'pantesan', 'kalah', 'gugatan', 'pilpres', 'heran', 'sih', 'twit', 'menggambarkan', 'kualitas', 'andabye'];bohong terberat covid dimana kalimat statement pakar menciderai profesi pengacara pantesan kalah gugatan pilpres heran sih twit menggambarkan kualitas andabye;bohong berat covid mana kalimat statement pakar menciderai profesi acara pantesan kalah gugat pilpres heran sih twit gambar kualitas andabye
580;pengen banget optimis keadaan bakal secepatnya pulih lagi,tp kenyataanya melow tiap hari..blm jg si covid membaik udh ada dentuman lagi. yaallah sampe kapan;1.0;banget optimis cepat pulih lagitp kenyataanya melow hariblm jg sih covid baik dentum yaallah;pengen banget optimis keadaan bakal secepatnya pulih lagitp kenyataanya melow tiap hariblm jg si covid membaik udh ada dentuman lagi yaallah sampe kapan;['pengen', 'banget', 'optimis', 'keadaan', 'bakal', 'secepatnya', 'pulih', 'lagitp', 'kenyataanya', 'melow', 'tiap', 'hariblm', 'jg', 'si', 'covid', 'membaik', 'udh', 'ada', 'dentuman', 'lagi', 'yaallah', 'sampe', 'kapan'];['ingin', 'banget', 'optimis', 'keadaan', 'bakal', 'secepatnya', 'pulih', 'lagitp', 'kenyataanya', 'melow', 'tiap', 'hariblm', 'jg', 'sih', 'covid', 'membaik', 'sudah', 'ada', 'dentuman', 'lagi', 'yaallah', 'sampai', 'kapan'];['banget', 'optimis', 'secepatnya', 'pulih', 'lagitp', 'kenyataanya', 'melow', 'hariblm', 'jg', 'sih', 'covid', 'membaik', 'dentuman', 'yaallah'];banget optimis secepatnya pulih lagitp kenyataanya melow hariblm jg sih covid membaik dentuman yaallah;banget optimis cepat pulih lagitp kenyataanya melow hariblm jg sih covid baik dentum yaallah
581;HIMBAUAN Untuk Masyarakat Pamoyanan Agar Sementara Waktu Bekerja Dan Beribadah Memutus Rantai Penyebaran Wabah Penyakit Covid-19.;1.0;himbauan masyarakat pamoyanan ibadah putus rantai sebar wabah sakit covid;himbauan untuk masyarakat pamoyanan agar sementara waktu bekerja dan beribadah memutus rantai penyebaran wabah penyakit covid;['himbauan', 'untuk', 'masyarakat', 'pamoyanan', 'agar', 'sementara', 'waktu', 'bekerja', 'dan', 'beribadah', 'memutus', 'rantai', 'penyebaran', 'wabah', 'penyakit', 'covid'];['himbauan', 'untuk', 'masyarakat', 'pamoyanan', 'agar', 'sementara', 'waktu', 'bekerja', 'dan', 'beribadah', 'memutus', 'rantai', 'penyebaran', 'wabah', 'penyakit', 'covid'];['himbauan', 'masyarakat', 'pamoyanan', 'beribadah', 'memutus', 'rantai', 'penyebaran', 'wabah', 'penyakit', 'covid'];himbauan masyarakat pamoyanan beribadah memutus rantai penyebaran wabah penyakit covid;himbauan masyarakat pamoyanan ibadah putus rantai sebar wabah sakit covid
582;Bagaimana Mekanisme Membentuk Desa Tanggap COVID-19 dan Relawan Desa Lawan COVID-19;0.0;mekanisme bentuk desa tanggap covid rawan desa lawan covid;bagaimana mekanisme membentuk desa tanggap covid dan relawan desa lawan covid;['bagaimana', 'mekanisme', 'membentuk', 'desa', 'tanggap', 'covid', 'dan', 'relawan', 'desa', 'lawan', 'covid'];['bagaimana', 'mekanisme', 'membentuk', 'desa', 'tanggap', 'covid', 'dan', 'relawan', 'desa', 'lawan', 'covid'];['mekanisme', 'membentuk', 'desa', 'tanggap', 'covid', 'relawan', 'desa', 'lawan', 'covid'];mekanisme membentuk desa tanggap covid relawan desa lawan covid;mekanisme bentuk desa tanggap covid rawan desa lawan covid
583;mari basmi kegabutan serta covid;1.0;mari basmi kegabutan covid;mari basmi kegabutan serta covid;['mari', 'basmi', 'kegabutan', 'serta', 'covid'];['mari', 'basmi', 'kegabutan', 'serta', 'covid'];['mari', 'basmi', 'kegabutan', 'covid'];mari basmi kegabutan covid;mari basmi kegabutan covid
584;Akibat dari kurang nya pengetahuan tentang penyebaran virus COVID-19. Mengakibatkan warga menjadi ketakutan yang berlebihan.;1.0;akibat nya tahu sebar virus covid akibat warga takut;akibat dari kurang nya pengetahuan tentang penyebaran virus covid mengakibatkan warga menjadi ketakutan yang berlebihan;['akibat', 'dari', 'kurang', 'nya', 'pengetahuan', 'tentang', 'penyebaran', 'virus', 'covid', 'mengakibatkan', 'warga', 'menjadi', 'ketakutan', 'yang', 'berlebihan'];['akibat', 'dari', 'kurang', 'nya', 'pengetahuan', 'tentang', 'penyebaran', 'virus', 'covid', 'mengakibatkan', 'warga', 'menjadi', 'ketakutan', 'yang', 'berlebihan'];['akibat', 'nya', 'pengetahuan', 'penyebaran', 'virus', 'covid', 'mengakibatkan', 'warga', 'ketakutan'];akibat nya pengetahuan penyebaran virus covid mengakibatkan warga ketakutan;akibat nya tahu sebar virus covid akibat warga takut
585;Iya yang aku mau di rumah aku mau di rumah aku mau di rumah akuAutocorrect versi covid;0.0;iya rumah rumah rumah akuautocorrect versi covid;iya yang aku mau di rumah aku mau di rumah aku mau di rumah akuautocorrect versi covid;['iya', 'yang', 'aku', 'mau', 'di', 'rumah', 'aku', 'mau', 'di', 'rumah', 'aku', 'mau', 'di', 'rumah', 'akuautocorrect', 'versi', 'covid'];['iya', 'yang', 'aku', 'mau', 'di', 'rumah', 'aku', 'mau', 'di', 'rumah', 'aku', 'mau', 'di', 'rumah', 'akuautocorrect', 'versi', 'covid'];['iya', 'rumah', 'rumah', 'rumah', 'akuautocorrect', 'versi', 'covid'];iya rumah rumah rumah akuautocorrect versi covid;iya rumah rumah rumah akuautocorrect versi covid
586;Hah pergi la gunting rambut..arini pergi sok lusa positive covid;-1.0;hah pergi la gunting rambutarini pergi sok lusa positive covid;hah pergi la gunting rambutarini pergi sok lusa positive covid;['hah', 'pergi', 'la', 'gunting', 'rambutarini', 'pergi', 'sok', 'lusa', 'positive', 'covid'];['hah', 'pergi', 'la', 'gunting', 'rambutarini', 'pergi', 'sok', 'lusa', 'positive', 'covid'];['hah', 'pergi', 'la', 'gunting', 'rambutarini', 'pergi', 'sok', 'lusa', 'positive', 'covid'];hah pergi la gunting rambutarini pergi sok lusa positive covid;hah pergi la gunting rambutarini pergi sok lusa positive covid
587;Informatorium Obat COVID-19 di Indonesia Maret 2020;-1.0;informatorium obat covid indonesia maret;informatorium obat covid di indonesia maret;['informatorium', 'obat', 'covid', 'di', 'indonesia', 'maret'];['informatorium', 'obat', 'covid', 'di', 'indonesia', 'maret'];['informatorium', 'obat', 'covid', 'indonesia', 'maret'];informatorium obat covid indonesia maret;informatorium obat covid indonesia maret
588;Putus Wabah Covid-19 dengan Tetap Dirumah Aja..;1.0;putus wabah covid rumah;putus wabah covid dengan tetap dirumah aja;['putus', 'wabah', 'covid', 'dengan', 'tetap', 'dirumah', 'aja'];['putus', 'wabah', 'covid', 'dengan', 'tetap', 'dirumah', 'saja'];['putus', 'wabah', 'covid', 'dirumah'];putus wabah covid dirumah;putus wabah covid rumah
589;Selamat malam travelers..  Di tengah Pandemi Covid-19 ini Gardi Tour masih tetap standby ya travelers..WFH senin-jumat : 10.00 - 16.00Untuk informasi seputar traveling bisa hubungi :0818-0608-8804 |;0.0;selamat malam travelers pandemi covid gardi tour standby iya travelerswfh seninjumat informasi putar traveling hubung;selamat malam travelers di tengah pandemi covid ini gardi tour masih tetap standby ya travelerswfh seninjumat untuk informasi seputar traveling bisa hubungi;['selamat', 'malam', 'travelers', 'di', 'tengah', 'pandemi', 'covid', 'ini', 'gardi', 'tour', 'masih', 'tetap', 'standby', 'ya', 'travelerswfh', 'seninjumat', 'untuk', 'informasi', 'seputar', 'traveling', 'bisa', 'hubungi'];['selamat', 'malam', 'travelers', 'di', 'tengah', 'pandemi', 'covid', 'ini', 'gardi', 'tour', 'masih', 'tetap', 'standby', 'iya', 'travelerswfh', 'seninjumat', 'untuk', 'informasi', 'seputar', 'traveling', 'bisa', 'hubungi'];['selamat', 'malam', 'travelers', 'pandemi', 'covid', 'gardi', 'tour', 'standby', 'iya', 'travelerswfh', 'seninjumat', 'informasi', 'seputar', 'traveling', 'hubungi'];selamat malam travelers pandemi covid gardi tour standby iya travelerswfh seninjumat informasi seputar traveling hubungi;selamat malam travelers pandemi covid gardi tour standby iya travelerswfh seninjumat informasi putar traveling hubung
